word,frequency
of,118
a,116
the,113
to,75
is,71
I,67
you,66
in,62
take,55
make,35
name,33
at,28
kind,26
with,26
eat,26
for,24
on,24
if,24
your,24
s,22
by,21
fall,21
nt,21
large,20
very,20
The,20
are,20
that,18
up,18
do,18
can,17
it,17
because,17
my,17
me,17
tree,16
will,16
or,15
water,15
as,15
bamboo,14
from,14
walk,14
when,13
back,13
like,13
same,13
we,12
type,12
banana,12
call,12
have,12
this,12
house,11
person,11
fish,11
near,11
hand,11
keep,11
rain,11
want,11
time,10
out,10
an,10
down,10
be,10
hang,10
and,10
not,10
young,10
You,10
would,10
so,9
one,9
join,9
he,9
go,9
long,8
small,8
get,8
over,8
off,8
jump,8
walking,8
paddy,8
Do,8
am,8
sound,7
wood,7
baby,7
easily,7
palm,7
under,7
rattan,7
case,7
money,7
work,7
easy,7
face,7
fallen,7
together,7
jungle,7
only,7
last,7
river,7
reach,7
Let,7
We,7
was,7
What,7
container,6
bad,6
buffalo,6
see,6
food,6
dead,6
each,6
sick,6
give,6
fruit,6
floor,6
just,6
short,6
all,6
vegetable,6
land,6
road,6
who,6
He,6
Your,6
cut,5
bird,5
rice,5
home,5
spirits,5
child,5
someone,5
something,5
dark,5
date,5
day,5
maize,5
into,5
family,5
gather,5
half,5
way,5
kick,5
main,5
nail,5
said,5
raise,5
meet,5
yellow,5
has,5
him,5
ca,5
they,5
This,5
us,5
other,4
without,4
salt,4
basket,4
head,4
ball,4
calf,4
called,4
kill,4
dance,4
men,4
death,4
early,4
full,4
through,4
hole,4
gentle,4
rotten,4
end,4
jumping,4
snake,4
Kudat,4
valley,4
naughty,4
chicken,4
been,4
season,4
inside,4
table,4
sail,4
second,4
happy,4
wait,4
warm,4
yam,4
My,4
his,4
cold,4
husband,4
people,4
Its,4
Sit,4
maybe,4
there,4
its,4
feel,4
hill,3
place,3
group,3
part,3
woven,3
bald,3
mouth,3
father,3
uncle,3
calling,3
daily,3
dam,3
along,3
dare,3
spirit,3
deaf,3
dear,3
morning,3
pot,3
own,3
front,3
fainted,3
hard,3
love,3
onto,3
unit,3
between,3
gastric,3
post,3
strength,3
generation,3
hammer,3
hands,3
self,3
happened,3
jar,3
joist,3
journey,3
knife,3
imatate,3
watch,3
sea,3
landing,3
made,3
field,3
well,3
example,3
ground,3
obedient,3
colour,3
did,3
offer,3
no,3
oil,3
old,3
paper,3
rainy,3
sun,3
safe,3
against,3
wind,3
value,3
stone,3
wife,3
away,3
unable,3
understand,3
uneven,3
valuable,3
verandah,3
poor,3
sleep,3
wall,3
fire,3
yard,3
Who,3
Please,3
some,3
Put,3
plant,3
now,3
Can,3
There,3
shirt,3
hear,3
planting,3
know,3
how,3
Eat,3
m,3
hungry,3
where,3
She,3
son,3
myself,3
her,3
she,3
If,3
went,3
children,3
Today,3
them,3
wan,3
na,3
slaughter,3
ll,3
what,3
big,2
pigeon,2
creature,2
cup,2
handful,2
far,2
little,2
used,2
promise,2
quiet,2
lining,2
swing,2
put,2
cook,2
clouds,2
absent,2
finger,2
background,2
waist,2
growing,2
bag,2
bail,2
balance,2
adult,2
instrument,2
raft,2
shoot,2
band,2
cage,2
leg,2
calm,2
catch,2
hold,2
breath,2
share,2
cane,2
cannon,2
dad,2
damp,2
dangle,2
days,2
deadly,2
fight,2
leaves,2
decide,2
ear,2
corn,2
wheat,2
earn,2
ears,2
earth,2
earthen,2
pieces,2
bones,2
great,2
left,2
raw,2
facing,2
apart,2
backwards,2
first,2
false,2
leaf,2
falling,2
room,2
gap,2
legs,2
gender,2
flow,2
gently,2
hack,2
hair,2
nails,2
joint,2
wrestling,2
handle,2
clothes,2
jail,2
jellyfish,2
meal,2
two,2
ends,2
joined,2
judge,2
timber,2
identical,2
identify,2
ignorant,2
image,2
imaginary,2
imagine,2
immoral,2
impossible,2
dying,2
danger,2
difficulty,2
oneself,2
quite,2
secretly,2
kept,2
lamp,2
heel,2
kids,2
eyes,2
pumpkin,2
red,2
lace,2
lack,2
lament,2
landslide,2
wave,2
which,2
night,2
moment,2
late,2
macaque,2
machete,2
magical,2
maid,2
building,2
mill,2
cover,2
naked,2
female,2
gong,2
sour,2
tall,2
village,2
named,2
narrow,2
nasal,2
sounding,2
native,2
sarong,2
behaviour,2
o,2
side,2
obey,2
observe,2
taboo,2
octopus,2
odd,2
number,2
course,2
size,2
offsprings,2
often,2
oh,2
packed,2
paddle,2
paid,2
pail,2
pain,2
pair,2
heart,2
pants,2
parents,2
wedding,2
quantity,2
queer,2
question,2
quick,2
raised,2
rake,2
rape,2
ray,2
sad,2
sag,2
sago,2
salad,2
sand,2
satisfied,2
tail,2
lot,2
once,2
care,2
stomach,2
umbrella,2
uncooked,2
uncover,2
understanding,2
unfinished,2
verse,2
busy,2
wages,2
patiently,2
waiting,2
stand,2
slowly,2
wallow,2
war,2
warming,2
yaws,2
year,2
ginger,2
yes,2
yesterday,2
battlenut,2
yours,2
zenith,2
drink,2
climb,2
Mt,2
Kinabalu,2
dog,2
many,2
hurt,2
Montuson,2
strong,2
threw,2
afternoon,2
ripe,2
yet,2
new,2
It,2
still,2
Why,2
raining,2
today,2
How,2
Just,2
lets,2
until,2
gave,2
hot,2
weather,2
puppy,2
willing,2
harder,2
why,2
guava,2
look,2
recognise,2
chilli,2
Go,2
YB,2
miss,2
making,2
breads,2
Sikob,2
stole,2
always,2
around,2
married,2
i,2
actually,2
doctor,2
Look,2
monkey,2
Jump,2
branch,2
good,2
heavy,2
better,2
eating,2
grilled,2
too,2
boat,2
then,2
going,2
row,2
advise,2
forget,2
bring,2
soon,2
Where,2
caught,2
usually,2
Stand,2
Did,2
arrive,2
alike,2
beside,2
Next,2
talking,2
about,2
dizzy,2
come,2
smell,2
piss,2
Warm,2
yourself,2
should,2
honour,2
those,2
older,2
Is,2
cicada,1
chance,1
clanging,1
colourful,1
deserted,1
drop,1
greeting,1
prosperity,1
grip,1
highpitch,1
tinkling,1
impostering,1
perso,1
insect,1
piece,1
flattened,1
wearing,1
cloths,1
mound,1
mouthfull,1
dispose,1
any,1
substance,1
sapling,1
traps,1
snare,1
section,1
sitabout,1
support,1
wise,1
abandon,1
abdomen,1
abide,1
ability,1
able,1
above,1
abrade,1
abridge,1
abridged,1
slink,1
babysiter,1
bachelor,1
lash,1
chair,1
slash,1
backache,1
research,1
story,1
backside,1
backtoback,1
backward,1
luck,1
badly,1
badness,1
bait,1
baking,1
standing,1
balanced,1
harp,1
sucker,1
ban,1
offshoot,1
sprout,1
bandage,1
8,1
inch,1
cajole,1
cakes,1
calculate,1
gongs,1
chicks,1
eldest,1
service,1
crazy,1
assistance,1
aunty,1
scream,1
camouflaged,1
traphole,1
camphor,1
approach,1
count,1
distinguish,1
sense,1
talk,1
use,1
cancel,1
cancer,1
cancle,1
candle,1
canoe,1
cap,1
capable,1
dagger,1
life,1
including,1
provision,1
usage,1
irrigation,1
giringgiring,1
dancing,1
dandruff,1
below,1
daring,1
darkness,1
dashed,1
dawn,1
daylight,1
animal,1
body,1
coloured,1
curse,1
Gons,1
debate,1
debating,1
debts,1
decayed,1
decaying,1
deceitful,1
deceive,1
decline,1
decorate,1
eager,1
eagle,1
earless,1
earlier,1
earmar,1
earmark,1
lavishly,1
earnings,1
earrings,1
ware,1
earthworm,1
earwax,1
ease,1
rip,1
seperated,1
East,1
confusion,1
break,1
lose,1
hope,1
lifted,1
every,1
tiny,1
meat,1
fast,1
cooking,1
greedily,1
greedly,1
greedy,1
haste,1
leftover,1
pig,1
cobben,1
downward,1
facetoface,1
faded,1
faeces,1
faint,1
fainting,1
fairytale,1
faith,1
faithful,1
knees,1
teeth,1
prey,1
unto,1
forward,1
perfidious,1
fame,1
familiar,1
planner,1
galanga,1
gale,1
gall,1
gallon,1
measurement,1
gallop,1
gambier,1
gamble,1
game,1
gangster,1
fingers,1
toes,1
garden,1
gardening,1
gargle,1
gargling,1
gasoline,1
problem,1
problems,1
gate,1
worship,1
bottom,1
gathered,1
gathering,1
gaur,1
gaze,1
gear,1
generalize,1
generalized,1
generate,1
generator,1
generous,1
genitals,1
genius,1
knowledge,1
genoursity,1
breeze,1
flowing,1
sloping,1
germinate,1
germs,1
habits,1
haemorhoid,1
bun,1
hairly,1
tropical,1
hairpin,1
downhill,1
bit,1
halfhalf,1
halve,1
hammerheadshark,1
hammering,1
drill,1
bonded,1
plates,1
feast,1
everybody,1
handback,1
handcarried,1
handcuffs,1
handfan,1
handiplast,1
handkerchief,1
sth,1
handrail,1
line,1
branche,1
edge,1
loose,1
hanger,1
hanging,1
happen,1
jack,1
jackfruit,1
jade,1
jatuh,1
jealous,1
jealousy,1
jelousy,1
jerk,1
job,1
blaming,1
conversation,1
joining,1
joints,1
joke,1
bride,1
groom,1
joy,1
joyful,1
joyfull,1
wrongly,1
jugde,1
junction,1
thick,1
ice,1
box,1
idding,1
identification,1
sign,1
origin,1
identity,1
card,1
IC,1
idiot,1
ill,1
imitate,1
immediately,1
immers,1
immerse,1
liquid,1
imperativ,1
imply,1
Impossible,1
imprison,1
imprisoned,1
improvised,1
carrier,1
state,1
period,1
eternity,1
auction,1
chaos,1
demand,1
despair,1
fact,1
numbers,1
groups,1
hurry,1
keen,1
words,1
mind,1
silent,1
unseen,1
Keningau,1
kerosene,1
kettle,1
kicking,1
kidnap,1
kidney,1
bleeading,1
killed,1
killer,1
bee,1
bubu,1
frog,1
mushroom,1
plum,1
rottan,1
marking,1
spinach,1
labour,1
pains,1
labourer,1
expenses,1
lacking,1
ladder,1
ladle,1
lake,1
lame,1
depression,1
title,1
landed,1
net,1
landleech,1
langur,1
cicadas,1
clay,1
cylindrical,1
object,1
flies,1
rock,1
weightlifting,1
smile,1
squirrel,1
sucking,1
blood,1
fly,1
breaking,1
wok,1
largerounded,1
largespoon,1
larve,1
butterfly,1
larynx,1
mad,1
horn,1
planks,1
maggots,1
item,1
magpierobin,1
beam,1
content,1
soup,1
constuction,1
stream,1
mainland,1
maizecake,1
channel,1
clearing,1
bend,1
hook,1
fuss,1
grave,1
message,1
rope,1
seam,1
shortcut,1
splint,1
broken,1
stack,1
agreement,1
error,1
angry,1
ashamed,1
aware,1
naive,1
known,1
medium,1
legend,1
soft,1
thorns,1
brass,1
customary,1
dress,1
grass,1
palmtree,1
tidal,1
reed,1
Rungus,1
giant,1
thornshrub,1
nape,1
neck,1
narrate,1
narrative,1
nature,1
nausea,1
navel,1
ncantations,1
neacklace,1
bead,1
lower,1
pull,1
oar,1
oat,1
command,1
obeyed,1
objective,1
obstruct,1
occupants,1
