word,frequency
do,75
ong,66
no,53
oku,46
ku,38
sid,36
di,35
ko,35
nu,26
tu,25
po,24
dino,22
diti,20
iti,19
dot,18
i,18
ka,17
ilo,16
ino,16
o,14
anak,13
dikou,13
yalo,12
amu,11
dau,10
tokou,10
ulun,9
it,8
ogi,8
dilo,8
I,7
silod,7
dohon,7
biano,7
addau,6
ikau,6
vagu,6
siin,6
Nunu,6
banal,6
diri,6
bala,5
ngaran,5
ilot,5
Amu,5
sinod,5
banat,5
nga,5
dati,5
kou,5
makan,5
mang,5
oi,5
binulugu,4
darun,4
solumpak,4
dikau,4
inot,4
Ogumu,4
antad,4
savo,4
aso,4
dioti,4
ma,4
ot,4
Kadan,4
mamanau,4
valai,4
dialo,4
okoi,4
mahi,4
bai,4
muli,4
punti,3
ongkob,3
ranzat,3
obuk,3
yoku,3
pogi,3
sakit,3
kaluto,3
angaanak,3
miabal,3
aya,3
mija,3
nabambaran,3
banalko,3
natad,3
vaig,3
Posuvango,3
Aso,3
kito,3
karabau,3
Nokuro,3
mongomot,3
kazu,3
vitilon,3
naku,3
tanga,3
ralan,3
dit,3
Yoku,3
om,3
mangakan,3
ginavo,3
Isai,3
noka,3
hodi,3
sogiton,3
sangit,2
kotibang,2
tarob,2
pogun,2
mangahanggum,2
balan,2
dazung,2
agaasan,2
angkakis,2
kinambo,2
anakvagu,2
raat,2
juli,2
bangkal,2
sakat,2
hongkos,2
tongkurung,2
uzog,2
votis,2
manangaka,2
manangama,2
kavasa,2
kakavid,2
kapanau,2
nanakan,2
susukud,2
bajil,2
apa,2
baladou,2
adamil,2
sumundai,2
kobulun,2
mituvong,2
aribulan,2
inaddahan,2
dahava,2
robuk,2
pintal,2
mangamu,2
rodus,2
gulu,2
sasarap,2
gumaji,2
suul,2
pinalung,2
tana,2
moligun,2
obinglizab,2
mangalalab,2
avuk,2
ahadan,2
obojigi,2
noruluk,2
tungub,2
loho,2
husukon,2
miniuumpug,2
minggoosgoos,2
soluvon,2
zuhu,2
rangalau,2
dunsul,2
mongodunsul,2
palad,2
nopoyukan,2
lunggazan,2
raga,2
parapad,2
rampai,2
minitginit,2
kosunu,2
torungku,2
vandak,2
uludon,2
kavaro,2
modtopik,2
bambangan,2
aisbuk,2
mongimpuras,2
suntuan,2
mamit,2
saralom,2
alaku,2
sumasamou,2
mangagaras,2
tukad,2
sonduk,2
korudu,2
sondot,2
guluk,2
gangi,2
kosodop,2
laid,2
gobuk,2
salambot,2
dalai,2
gopu,2
gilingan,2
suntu,2
sondulu,2
lumabas,2
liumindu,2
siba,2
gagau,2
gandum,2
mongining,2
noumahan,2
pangasakan,2
sahat,2
antom,2
bungkus,2
tivak,2
tinopis,2
arip,2
molohing,2
puruvan,2
gansing,2
tihi,2
buluntung,2
odorunan,2
tungago,2
tinaud,2
surud,2
simpana,2
malangalang,2
bolit,2
dinonsul,2
gaji,2
osin,2
kerad,2
mirimpanau,2
magapid,2
sunsud,2
lobi,2
pazung,2
mongodonsul,2
mongohondot,2
ansang,2
tandas,2
napu,2
taduk,2
ayat,2
sumaap,2
biruvokon,2
pinanau,2
korokod,2
toun,2
konihab,2
Nabalu,2
dilot,2
asu,2
Oruol,2
Anakvagu,2
Montuson,2
ongokakansang,2
bo,2
aki,2
Pinilai,2
karatas,2
minsosodop,2
Nolingan,2
mananom,2
Mangakan,2
Varo,2
hiza,2
ama,2
Andak,2
tagad,2
kinapatazan,2
korongou,2
barasan,2
Ino,2
nizuw,2
minggamagama,2
Oruhai,2
yosido,2
Novunusan,2
kalasu,2
minggu,2
Onuvon,2
duku,2
kozuan,2
Onuvo,2
paku,2
isai,2
raan,2
koliabas,2
mosikim,2
sada,2
Miluu,2
songobpinai,2
mai,2
Mad,2
osodirizan,2
lada,2
Samung,2
YB,2
manahak,2
langadon,2
Mamit,2
monuluw,2
tinggol,2
Obungou,2
Sikob,2
manakau,2
ondu,2
okonko,2
alunalun,2
Biano,2
jumumpa,2
dokutul,2
modop,2
siti,2
kara,2
sitid,2
sino,2
Ohigak,2
Mimot,2
mangagaraas,2
gingis,2
Tiakan,2
Atagon,2
Sondot,2
mogomogom,2
Ong,2
kuvoon,2
Mangagama,2
mozo,2
tingkang,2
vatu,2
manuk,2
varo,2
dinot,2
sampai,2
Osindak,2
nokosobu,2
suval,2
kampung,2
kada,2
rumikot,2
boroson,2
Apasong,2
Kudat,2
Magamut,2
apui,2
ropuhan,2
osilou,2
apatut,2
mongohorumat,2
momodlohing,2
rurumanas,1
okudalang,1
limbukon,1
sansangkil,1
sompudung,1
somputik,1
kopivosihan,1
huzud,1
hanggamon,1
longking,1
susulap,1
solukakamon,1
tadtalan,1
giniab,1
sompurut,1
sikuvan,1
lipupudsu,1
nababol,1
obu,1
paangadaan,1
pokohuman,1
bosuk,1
korokok,1
logodon,1
mobuobu,1
guntun,1
sinsilog,1
tinokin,1
tinindasak,1
putarang,1
minongiduan,1
gituko,1
undorong,1
nagaasan,1
okohung,1
ahid,1
lantas,1
alantas,1
iran,1
koling,1
hambin,1
likud,1
obokulian,1
sondihon,1
tumpuk,1
vukihan,1
angilangil,1
monusul,1
riwayat,1
solot,1
nokohiza,1
nokotohudi,1
obingpasa,1
kalalasu,1
ongorogon,1
ombol,1
korumaato,1
jamin,1
sahid,1
bazazat,1
monginulat,1
tangkub,1
torudui,1
nokopitangkub,1
butul,1
tata,1
karaban,1
sompoton,1
uruding,1
soko,1
bungil,1
lampaki,1
tivung,1
binurangus,1
pinoniagan,1
mogindanau,1
bunguran,1
rangau,1
lumbok,1
kuui,1
izap,1
moriza,1
tavahanan,1
rundan,1
monogok,1
mangambo,1
pokoulau,1
momurinait,1
modlopoi,1
kinodim,1
retan,1
mononginai,1
manangamai,1
minongingkokodim,1
avazau,1
mongunopod,1
burunsut,1
kapul,1
orikot,1
atabpaan,1
ezap,1
kosodiri,1
ahanut,1
kapatai,1
kemot,1
imang,1
kelang,1
kobongut,1
kinsil,1
batal,1
duzan,1
lapos,1
gubang,1
tupi,1
ihoru,1
koposizon,1
ponongkogunaanon,1
vokok,1
timbun,1
andak,1
igol,1
migonding,1
siumundai,1
kakas,1
lantavid,1
ronguluw,1
osugul,1
tuvong,1
bolongingitan,1
nidumpau,1
sovut,1
runat,1
minatai,1
buragan,1
buntung,1
bubuha,1
obulat,1
monindaat,1
bongung,1
lunggung,1
rasin,1
kabangkazan,1
mibangkai,1
midahava,1
utang,1
linuap,1
loduk,1
manantu,1
hukum,1
manampakai,1
ipatipat,1
ikid,1
koniu,1
tolingo,1
ravo,1
palung,1
osopung,1
sopung,1
andui,1
bumbung,1
mongohuntung,1
saddang,1
popogong,1
lingguvang,1
labak,1
induruhazan,1
sunud,1
otoduk,1
orobuk,1
obintongkizad,1
orompui,1
kosilahon,1
olosu,1
manalahas,1
otopu,1
obimpupusan,1
bontol,1
insimot,1
lalab,1
monguot,1
vizahon,1
babut,1
monoburus,1
butil,1
sugut,1
ingkuhol,1
kingkidan,1
imuk,1
inta,1
toguvang,1
loub,1
pomurasan,1
kopikondiri,1
sugat,1
torungak,1
potoguvang,1
akavut,1
tai,1
hokob,1
tangon,1
harapan,1
rumatu,1
humuzas,1
lunggaang,1
tahub,1
hotung,1
tingkulai,1
laha,1
monongginavo,1
dumumpau,1
mabpas,1
liad,1
raab,1
rudtu,1
ruru,1
nabpas,1
sohuru,1
vunsut,1
kovunsut,1
tubpo,1
noloho,1
munlabok,1
linahing,1
nomurok,1
liumiad,1
bantug,1
lunza,1
pusigot,1
sirang,1
longkuas,1
bogizu,1
ompodus,1
gantang,1
lumpat,1
gambil,1
mingtikam,1
momoi,1
samsing,1
pirangan,1
papangan,1
kabun,1
minukabun,1
imomoug,1
mongimomoug,1
benjin,1
husuk,1
dugaron,1
lalavangon,1
sumambayang,1
untun,1
rungkum,1
noumpug,1
piumpugan,1
kalasiu,1
timpano,1
gial,1
hampat,1
ahampat,1
muranzat,1
jinorito,1
kekuman,1
galaman,1
kozuhu,1
orimomol,1
buvol,1
olomoi,1
lomomoi,1
olomomoi,1
arantai,1
sobul,1
kuman,1
lumintanga,1
oduk,1
dadan,1
totok,1
gansad,1
butid,1
timbuku,1
titimbok,1
papas,1
angus,1
vuu,1
hamad,1
sompiding,1
kalamata,1
tisop,1
manambing,1
buur,1
payuk,1
kuradson,1
inavol,1
mibilad,1
kikizop,1
koyok,1
saputangan,1
sumpakon,1
ogivis,1
singgol,1
ginit,1
minoginit,1
parampai,1
runduk,1
kopol,1
kiumavid,1
pagamboi,1
gamboi,1
poginitan,1
bambol,1
linapu,1
nangko,1
togkol,1
panding,1
pungut,1
ramang,1
osolon,1
mongivogu,1
bolung,1
ivogu,1
ponsohorizan,1
supa,1
monguhod,1
humogizo,1
toboi,1
irung,1
tangop,1
simbong,1
suput,1
kohigizo,1
olunsung,1
misuput,1
lulukuan,1
piuhalan,1
rolos,1
lombiou,1
tinong,1
higak,1
unsopot,1
mongozou,1
moomihukum,1
indos,1
moninggohuk,1
topik,1
tuhop,1
nalazan,1
lopoi,1
humundok,1
tumindak,1
vikuton,1
dangol,1
rungin,1
tinulangon,1
tomod,1
miluu,1
pogintutunan,1
monutul,1
aisi,1
bungou,1
dara,1
sakai,1
bugang,1
kodingau,1
nosorou,1
kumina,1
sovolitodok,1
lingkasu,1
sosok,1
obungou,1
gontiai,1
baraling,1
ojoho,1
tojoho,1
odjoho,1
obong,1
gozitup,1
oluvit,1
toropatazo,1
oduruk,1
pasatirapus,1
lilung,1
bang,1
kalu,1
gampang,1
punovot,1
osusaan,1
tinoguvangon,1
osima,1
tosontumpuktumpuk,1
santap,1
potohuo,1
humavud,1
ingkong,1
umpaladan,1
tohungkoi,1
liumombus,1
otos,1
talab,1
minotos,1
undop,1
impa,1
kondingau,1
