,phrase,translation
0,sid alud yosido sid saralom,
1,vaig Na ka di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul,
2,saralom,
3,mangakan,
4,lada,
5,ondu,
6,songkovozoo,
7,po sid alud yosido sid saralom,
8,vaig Na ka di ginavo ku Ong aso,
9,Yama,
10,sakit,
11,Iseso oku po sid alud yosido sid saralom,
12,laid,
13,siin pamayal,
14,siin pamayal ku,
15,vaig Na ka di ginavo,
16,vaig Na ka di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop,
17,vaig Na ka,
18,vaig Na ka di ginavo ku Ong aso no koindakadan di kuvoon,
19,dioti,
20,lihing,
21,vaig Na,
22,savat,
23,bangunan,
24,vaig Na ka di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop oku,
25,pogun,
26,valai diti,
27,gingis,
28,vulanut nga osilou,
29,valai,
30,tumuhop,
31,tumuhop oku diti ka di ginavo ku,
32,biano,
33,tumuhop oku,
34,pongoretan,
35,koindakadan di kuvoon dino osuhul,
36,tumuhop oku diti,
37,Biruvokon oku,
38,tumuddung,
39,minggamagama,
40,biano no,
41,Kalu,
42,kosunu okoi Kumudat opungai,
43,Ong aso no koindakadan di kuvoon dino osuhul,
44,saralom do vaig Na ka di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul,
45,kuvoon dino osuhul,
46,Nabalu,
47,yoku diti,
48,osuhul,
49,yoku,
50,di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul,
51,dikau,
52,banal noko ozi,
53,tumuhop oku diti ka,
54,koindakadan di kuvoon dino osuhul ong tumuhop,
55,koindakadan di kuvoon dino osuhul ong tumuhop oku diti ka di ginavo ku,
56,nolingasan,
57,koindakadan di kuvoon,
58,koindakadan di kuvoon dino osuhul ong tumuhop oku,
59,sid alud yosido sid saralom do vaig Na ka di ginavo ku Ong aso,
60,di ginavo ku Ong aso,
61,Ong aso,
62,antad,
63,saralom do vaig Na ka di ginavo ku Ong aso,
64,Adavasi,
65,ong tumuddung,
66,po sid alud yosido sid saralom do vaig Na ka di ginavo ku Ong aso,
67,koindakadan,
68,koindakadan di kuvoon dino osuhul ong tumuhop oku diti,
69,ginavo ku Ong aso,
70,ongorobuk,
71,itit origi dau,
72,sumodop,
73,nga amu,
74,tu ongorobuk,
75,Iseso,
76,diti ka di ginavo ku,
77,Nenum,
78,diti,
79,diti ka,
80,Amu kendakod,
81,Biruvokon,
82,Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop,
83,po sid alud yosido sid saralom do vaig Na ka di ginavo,
84,po,
85,kuvoon dino osuhul ong tumuhop,
86,po sid alud yosido sid saralom do vaig Na ka,
87,osuhul ong tumuhop,
88,di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop,
89,po sid alud yosido sid saralom do vaig Na,
90,dino karan tokou,
91,Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop oku diti ka di ginavo ku,
92,Ong aso no koindakadan di kuvoon,
93,Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop oku,
94,sid alud yosido sid saralom do vaig Na ka di ginavo,
95,di ginavo,
96,saralom do vaig Na ka di ginavo,
97,ilo duatan,
98,duatan,
99,ginavo,
100,Iseso oku po sid alud yosido sid saralom do vaig Na ka di ginavo,
101,Ong aso no koindakadan,
102,Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop oku diti,
103,alud yosido,
104,sid alud yosido,
105,Iseso oku po,
106,saralom do vaig Na ka,
107,Higak,
108,ginavoku,
109,saralom do vaig Na ka di ginavo ku Ong aso no koindakadan di kuvoon,
110,saralom do vaig Na,
111,ginavo ku Ong aso no koindakadan,
112,ginavo ku,
113,sid alud yosido sid saralom do vaig Na ka,
114,di ginavo ku Ong aso no koindakadan,
115,kuvoon dino osuhul ong tumuhop oku diti ka,
116,kuvoon dino osuhul ong tumuhop oku diti,
117,kuvoon,
118,Iseso oku po sid alud yosido sid saralom do vaig Na ka,
119,kuvoon dino osuhul ong tumuhop oku,
120,Siombo pinanau,
121,Papang dikou diri,
122,osuhul ong tumuhop oku diti ka,
123,ka,
124,dohon,
125,tinunuvan pahi ot ikana,
126,biruvokon,
127,Sumakap,
128,Iseso oku,
129,nokouli,
130,Oho,
131,sid alud yosido sid saralom do vaig Na,
132,karan tokou,
133,osuhul ong tumuhop oku diti ka di ginavo ku,
134,osuhul ong tumuhop oku,
135,Mansakpunti,
136,sid alud yosido sid saralom do vaig Na ka di ginavo ku Ong aso no koindakadan di kuvoon,
137,di ginavo ku Ong aso no koindakadan di kuvoon,
138,osuhul ong tumuhop oku diti,
139,ka di ginavo ku,
140,tu biruvokon,
141,votik,
142,inan dau,
143,di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop oku diti,
144,di ginavo ku Ong aso no koindakadan di kuvoon dino osuhul ong tumuhop oku,
145,di ginavo ku,
146,Iseso oku po sid alud yosido sid saralom do vaig Na,
147,Oho po,
148,Akahag,
